Datum,count
Mon 19:45 UTC,1
Mon 19:49 UTC,1
Mon 19:50 UTC,1
Mon 19:55 UTC,1
Mon 19:59 UTC,2
Mon 20:03 UTC,1
Mon 20:10 UTC,1
Mon 20:12 UTC,1
Mon 20:16 UTC,1
Mon 20:20 UTC,1
Mon 20:30 UTC,1
Mon 20:31 UTC,1
Mon 20:36 UTC,1
Mon 20:37 UTC,1
Mon 20:39 UTC,1
Mon 20:43 UTC,1
Mon 20:44 UTC,1
Mon 20:50 UTC,2
Mon 21:00 UTC,2
Mon 21:02 UTC,1
Mon 21:08 UTC,1
Mon 21:09 UTC,1
Mon 21:15 UTC,1
Mon 21:18 UTC,1
Mon 21:30 UTC,1
Mon 21:32 UTC,2
Mon 21:37 UTC,2
Mon 21:39 UTC,1
Mon 21:40 UTC,1
Mon 21:43 UTC,1
Mon 21:47 UTC,2
Mon 21:51 UTC,1
Mon 21:52 UTC,1
Mon 21:56 UTC,1
Mon 21:58 UTC,2
Mon 21:59 UTC,1
Mon 22:01 UTC,1
Mon 22:03 UTC,1
Mon 22:04 UTC,2
Mon 22:05 UTC,2
Mon 22:06 UTC,2
Mon 22:09 UTC,1
Mon 22:19 UTC,1
Mon 22:20 UTC,2
Mon 22:22 UTC,1
Mon 22:23 UTC,1
Mon 22:24 UTC,1
Mon 22:26 UTC,1
Mon 22:28 UTC,1
Mon 22:29 UTC,2
Mon 22:30 UTC,1
Mon 22:35 UTC,2
Mon 22:37 UTC,1
Mon 22:40 UTC,1
Mon 22:48 UTC,1
Mon 22:50 UTC,1
Mon 22:51 UTC,1
Mon 22:52 UTC,1
Mon 22:58 UTC,1
Mon 23:00 UTC,1
Mon 23:01 UTC,1
Mon 23:03 UTC,1
Mon 23:04 UTC,1
Mon 23:05 UTC,1
Mon 23:21 UTC,1
Mon 23:28 UTC,1
Mon 23:29 UTC,1
Mon 23:30 UTC,1
Mon 23:32 UTC,1
Mon 23:34 UTC,1
Mon 23:40 UTC,2
Mon 23:41 UTC,1
Mon 23:45 UTC,1
Mon 23:46 UTC,1
Mon 23:48 UTC,1
Mon 23:50 UTC,1
Mon 23:52 UTC,1
"Mon Apr 03, 1967",1
"Mon Aug 12, 1974",1
"Mon Aug 25, 1958",1
"Mon Aug 25, 2003",1
"Mon Dec 22, 1975",1
"Mon Dec 26, 1994",1
"Mon Dec 27, 1971",1
"Mon Feb 02, 2009",1
"Mon Feb 02, 2015",1
"Mon Feb 21, 1966",1
"Mon Jun 26, 1967",1
"Mon Nov 23, 2015",1
"Mon Oct 30, 1978",1
"Mon Sep 06, 2004",1
"Mon Sep 19, 1988",1
"Mon Sep 21, 1981",1
"Mon Sep 22, 1969",1
"Mon Sep 26, 1966",1
Sat 00:00 UTC,1
Sat 00:02 UTC,1
Sat 00:03 UTC,1
Sat 00:09 UTC,1
Sat 00:11 UTC,1
Sat 00:15 UTC,1
Sat 00:21 UTC,1
Sat 00:24 UTC,1
Sat 00:26 UTC,1
Sat 00:27 UTC,1
Sat 00:28 UTC,1
Sat 00:30 UTC,3
Sat 00:31 UTC,2
Sat 00:32 UTC,2
Sat 00:42 UTC,1
Sat 00:46 UTC,1
Sat 00:47 UTC,1
Sat 00:48 UTC,1
Sat 00:50 UTC,1
Sat 00:51 UTC,1
Sat 00:53 UTC,1
Sat 00:55 UTC,2
Sat 00:56 UTC,1
Sat 01:03 UTC,1
Sat 01:07 UTC,2
Sat 01:10 UTC,1
Sat 01:14 UTC,1
Sat 01:15 UTC,1
Sat 01:16 UTC,1
Sat 01:17 UTC,1
Sat 01:18 UTC,2
Sat 01:21 UTC,1
Sat 01:23 UTC,2
Sat 01:25 UTC,1
Sat 01:26 UTC,1
Sat 01:27 UTC,2
Sat 01:31 UTC,1
Sat 01:35 UTC,1
Sat 01:38 UTC,1
Sat 01:40 UTC,1
Sat 01:44 UTC,1
Sat 01:45 UTC,1
Sat 01:50 UTC,1
Sat 01:51 UTC,1
Sat 01:53 UTC,2
Sat 02:02 UTC,1
Sat 02:03 UTC,1
Sat 02:05 UTC,1
Sat 02:06 UTC,1
Sat 02:12 UTC,1
Sat 02:19 UTC,2
Sat 02:20 UTC,3
Sat 02:28 UTC,1
Sat 02:34 UTC,1
Sat 02:36 UTC,1
Sat 02:40 UTC,1
Sat 02:49 UTC,1
Sat 02:55 UTC,1
Sat 02:56 UTC,1
Sat 03:00 UTC,1
Sat 03:01 UTC,1
Sat 03:05 UTC,1
Sat 03:10 UTC,1
Sat 03:13 UTC,1
Sat 03:19 UTC,1
Sat 03:20 UTC,1
Sat 03:22 UTC,1
Sat 03:23 UTC,1
Sat 03:25 UTC,1
Sat 03:26 UTC,1
Sat 03:27 UTC,1
Sat 03:36 UTC,1
Sat 03:45 UTC,1
Sat 03:48 UTC,2
Sat 03:49 UTC,1
Sat 03:59 UTC,1
Sat 04:00 UTC,1
Sat 04:11 UTC,1
Sat 04:12 UTC,1
Sat 04:13 UTC,2
Sat 04:14 UTC,1
Sat 04:20 UTC,1
Sat 04:30 UTC,1
Sat 04:33 UTC,1
Sat 04:39 UTC,1
Sat 04:41 UTC,1
Sat 04:50 UTC,1
Sat 04:59 UTC,1
Sat 05:00 UTC,3
Sat 05:03 UTC,1
Sat 05:05 UTC,1
Sat 05:06 UTC,1
Sat 05:09 UTC,1
Sat 05:12 UTC,1
Sat 05:15 UTC,1
Sat 05:16 UTC,1
Sat 05:20 UTC,1
Sat 05:27 UTC,1
Sat 05:29 UTC,1
Sat 05:30 UTC,1
Sat 05:37 UTC,2
Sat 05:39 UTC,1
Sat 05:40 UTC,2
Sat 05:44 UTC,1
Sat 05:45 UTC,1
Sat 05:48 UTC,1
Sat 05:51 UTC,1
Sat 05:54 UTC,1
Sat 05:59 UTC,1
Sat 06:00 UTC,1
Sat 06:01 UTC,1
Sat 06:05 UTC,1
Sat 06:06 UTC,1
Sat 06:10 UTC,1
Sat 06:11 UTC,1
Sat 06:16 UTC,1
Sat 06:20 UTC,1
Sat 06:27 UTC,1
Sat 06:29 UTC,1
Sat 06:30 UTC,1
Sat 06:39 UTC,1
Sat 06:41 UTC,1
Sat 06:45 UTC,1
Sat 06:48 UTC,1
Sat 06:51 UTC,1
Sat 06:55 UTC,1
Sat 06:59 UTC,2
Sat 07:00 UTC,4
Sat 07:03 UTC,1
Sat 07:05 UTC,1
Sat 07:10 UTC,1
Sat 07:20 UTC,1
Sat 07:21 UTC,1
Sat 07:28 UTC,1
Sat 07:30 UTC,1
Sat 07:32 UTC,1
Sat 07:39 UTC,1
Sat 07:40 UTC,1
Sat 07:49 UTC,1
Sat 07:55 UTC,1
Sat 07:58 UTC,1
Sat 07:59 UTC,1
Sat 08:00 UTC,3
Sat 08:01 UTC,2
Sat 08:02 UTC,1
Sat 08:08 UTC,1
Sat 08:12 UTC,1
Sat 08:14 UTC,1
Sat 08:15 UTC,3
Sat 08:20 UTC,3
Sat 08:25 UTC,1
Sat 08:30 UTC,6
Sat 08:34 UTC,1
Sat 08:35 UTC,1
Sat 08:38 UTC,1
Sat 08:40 UTC,1
Sat 08:42 UTC,1
Sat 08:45 UTC,1
Sat 08:46 UTC,1
Sat 08:49 UTC,1
Sat 08:52 UTC,1
Sat 08:53 UTC,1
Sat 08:54 UTC,1
Sat 08:55 UTC,1
Sat 08:58 UTC,1
Sat 09:00 UTC,2
Sat 09:01 UTC,1
Sat 09:10 UTC,1
Sat 09:16 UTC,2
Sat 09:18 UTC,1
Sat 09:21 UTC,1
Sat 09:22 UTC,1
Sat 09:24 UTC,1
Sat 09:25 UTC,1
Sat 09:26 UTC,1
Sat 09:36 UTC,2
Sat 09:45 UTC,1
Sat 09:47 UTC,2
Sat 09:50 UTC,2
Sat 09:51 UTC,1
Sat 09:54 UTC,1
Sat 09:59 UTC,1
Sat 10:00 UTC,3
Sat 10:02 UTC,1
Sat 10:04 UTC,1
Sat 10:09 UTC,1
Sat 10:12 UTC,1
Sat 10:14 UTC,1
Sat 10:15 UTC,1
Sat 10:18 UTC,1
Sat 10:21 UTC,2
Sat 10:22 UTC,1
Sat 10:26 UTC,1
Sat 10:30 UTC,3
Sat 10:34 UTC,3
Sat 10:37 UTC,1
Sat 10:40 UTC,1
Sat 10:43 UTC,1
Sat 10:49 UTC,1
Sat 10:50 UTC,1
Sat 10:53 UTC,1
Sat 10:56 UTC,1
Sat 10:59 UTC,3
Sat 11:00 UTC,1
Sat 11:02 UTC,1
Sat 11:04 UTC,1
Sat 11:05 UTC,2
Sat 11:07 UTC,1
Sat 11:09 UTC,1
Sat 11:10 UTC,2
Sat 11:14 UTC,1
Sat 11:15 UTC,1
Sat 11:19 UTC,1
Sat 11:24 UTC,2
Sat 11:29 UTC,1
Sat 11:30 UTC,1
Sat 11:33 UTC,1
Sat 11:37 UTC,1
Sat 11:39 UTC,1
Sat 11:40 UTC,1
Sat 11:44 UTC,1
Sat 11:45 UTC,1
Sat 11:47 UTC,1
Sat 11:49 UTC,2
Sat 11:52 UTC,1
Sat 11:59 UTC,1
Sat 12:00 UTC,7
Sat 12:11 UTC,1
Sat 12:15 UTC,2
Sat 12:27 UTC,1
Sat 12:30 UTC,3
Sat 12:31 UTC,1
Sat 12:38 UTC,1
Sat 12:50 UTC,1
Sat 12:51 UTC,2
Sat 13:00 UTC,1
Sat 13:02 UTC,1
Sat 13:08 UTC,1
Sat 13:13 UTC,1
Sat 13:15 UTC,2
Sat 13:16 UTC,1
Sat 13:25 UTC,1
Sat 13:27 UTC,1
Sat 13:30 UTC,3
Sat 13:32 UTC,1
Sat 13:48 UTC,1
Sat 13:53 UTC,2
Sat 13:59 UTC,2
Sat 14:00 UTC,2
Sat 14:08 UTC,1
Sat 14:14 UTC,1
Sat 14:20 UTC,1
Sat 14:22 UTC,3
Sat 14:23 UTC,1
Sat 14:24 UTC,1
Sat 14:29 UTC,1
Sat 14:30 UTC,2
Sat 14:38 UTC,1
Sat 14:47 UTC,1
Sat 14:58 UTC,1
Sat 15:00 UTC,5
Sat 15:02 UTC,3
Sat 15:14 UTC,1
Sat 15:17 UTC,1
Sat 15:30 UTC,1
Sat 15:57 UTC,1
Sat 15:59 UTC,1
Sat 16:00 UTC,2
Sat 16:11 UTC,1
Sat 16:12 UTC,1
Sat 16:13 UTC,1
Sat 16:17 UTC,1
Sat 16:20 UTC,1
Sat 16:26 UTC,1
Sat 16:28 UTC,2
Sat 16:34 UTC,1
Sat 16:39 UTC,1
Sat 16:40 UTC,1
Sat 16:50 UTC,1
Sat 16:52 UTC,1
Sat 16:55 UTC,1
Sat 17:00 UTC,1
Sat 17:06 UTC,1
Sat 17:09 UTC,1
Sat 17:15 UTC,1
Sat 17:16 UTC,2
Sat 17:40 UTC,1
Sat 17:45 UTC,1
Sat 17:50 UTC,1
Sat 17:51 UTC,1
Sat 17:52 UTC,1
Sat 17:53 UTC,1
Sat 17:54 UTC,1
Sat 18:00 UTC,2
Sat 18:08 UTC,1
Sat 18:09 UTC,1
Sat 18:10 UTC,1
Sat 18:11 UTC,1
Sat 18:15 UTC,1
Sat 18:29 UTC,1
Sat 18:30 UTC,1
Sat 18:34 UTC,1
Sat 18:50 UTC,2
Sat 18:53 UTC,1
Sat 18:57 UTC,1
Sat 19:08 UTC,1
Sat 19:10 UTC,1
Sat 19:13 UTC,1
Sat 19:15 UTC,1
Sat 19:21 UTC,1
Sat 19:22 UTC,1
Sat 19:25 UTC,1
Sat 19:28 UTC,1
Sat 19:30 UTC,1
Sat 19:40 UTC,1
Sat 19:46 UTC,1
Sat 19:48 UTC,1
Sat 20:05 UTC,1
Sat 20:09 UTC,2
Sat 20:13 UTC,1
Sat 20:17 UTC,3
Sat 20:19 UTC,1
Sat 20:21 UTC,1
Sat 20:28 UTC,1
Sat 20:34 UTC,1
Sat 20:39 UTC,1
Sat 20:40 UTC,1
Sat 20:43 UTC,2
Sat 20:51 UTC,1
Sat 20:53 UTC,1
Sat 21:02 UTC,1
Sat 21:03 UTC,1
Sat 21:05 UTC,1
Sat 21:07 UTC,1
Sat 21:09 UTC,2
Sat 21:17 UTC,1
Sat 21:18 UTC,1
Sat 21:19 UTC,1
Sat 21:25 UTC,1
Sat 21:28 UTC,1
Sat 21:30 UTC,1
Sat 21:34 UTC,1
Sat 21:35 UTC,1
Sat 21:41 UTC,5
Sat 21:42 UTC,1
Sat 21:48 UTC,1
Sat 21:49 UTC,1
Sat 22:00 UTC,1
Sat 22:01 UTC,1
Sat 22:04 UTC,1
Sat 22:30 UTC,1
Sat 22:33 UTC,3
Sat 22:34 UTC,1
Sat 22:35 UTC,2
Sat 22:36 UTC,1
Sat 22:39 UTC,1
Sat 22:40 UTC,1
Sat 22:42 UTC,1
Sat 22:46 UTC,1
Sat 22:47 UTC,1
Sat 22:51 UTC,1
Sat 22:52 UTC,1
Sat 22:53 UTC,1
Sat 22:54 UTC,1
Sat 22:58 UTC,1
Sat 23:01 UTC,2
Sat 23:03 UTC,1
Sat 23:08 UTC,1
Sat 23:10 UTC,1
Sat 23:13 UTC,1
Sat 23:14 UTC,1
Sat 23:15 UTC,2
Sat 23:17 UTC,1
Sat 23:23 UTC,1
Sat 23:31 UTC,1
Sat 23:33 UTC,1
Sat 23:34 UTC,1
Sat 23:36 UTC,1
Sat 23:42 UTC,1
Sat 23:44 UTC,1
Sat 23:45 UTC,1
Sat 23:59 UTC,1
"Sat Apr 02, 2016",1
"Sat Apr 16, 1960",1
"Sat Aug 05, 1978",1
"Sat Dec 13, 1980",1
"Sat Dec 23, 1978",1
"Sat Jun 01, 1963",1
"Sat Jun 15, 1968",1
"Sat Jun 19, 1976",1
"Sat Oct 30, 1982",1
"Sat Sep 22, 2012",1
"Sat Sep 24, 1977",1
Sun 00:00 UTC,1
Sun 00:06 UTC,1
Sun 00:12 UTC,1
Sun 00:18 UTC,1
Sun 00:21 UTC,1
Sun 00:30 UTC,2
Sun 00:33 UTC,1
Sun 00:34 UTC,1
Sun 00:35 UTC,1
Sun 00:40 UTC,1
Sun 00:43 UTC,2
Sun 00:44 UTC,2
Sun 00:47 UTC,1
Sun 00:49 UTC,1
Sun 00:51 UTC,1
Sun 00:57 UTC,1
Sun 01:11 UTC,1
Sun 01:17 UTC,1
Sun 01:21 UTC,1
Sun 01:25 UTC,2
Sun 01:29 UTC,1
Sun 01:34 UTC,2
Sun 01:43 UTC,1
Sun 01:45 UTC,1
Sun 01:47 UTC,1
Sun 01:48 UTC,1
Sun 01:49 UTC,1
Sun 01:50 UTC,1
Sun 02:02 UTC,1
Sun 02:15 UTC,1
Sun 02:20 UTC,1
Sun 02:28 UTC,1
Sun 02:30 UTC,2
Sun 02:31 UTC,1
Sun 02:40 UTC,2
Sun 02:43 UTC,1
Sun 02:47 UTC,1
Sun 03:17 UTC,1
Sun 03:22 UTC,1
Sun 03:27 UTC,1
Sun 03:29 UTC,1
Sun 03:30 UTC,2
Sun 03:34 UTC,1
Sun 03:45 UTC,1
Sun 03:50 UTC,1
Sun 04:00 UTC,1
Sun 04:02 UTC,1
Sun 04:03 UTC,1
Sun 04:11 UTC,1
Sun 04:12 UTC,1
Sun 04:18 UTC,1
Sun 04:20 UTC,1
Sun 04:23 UTC,1
Sun 04:40 UTC,1
Sun 04:41 UTC,1
Sun 04:55 UTC,1
Sun 05:00 UTC,3
Sun 05:10 UTC,1
Sun 05:15 UTC,1
Sun 05:17 UTC,1
Sun 05:26 UTC,1
Sun 05:44 UTC,1
Sun 05:49 UTC,1
Sun 05:50 UTC,2
Sun 05:52 UTC,1
Sun 05:59 UTC,1
Sun 06:00 UTC,3
Sun 06:17 UTC,1
Sun 06:28 UTC,1
Sun 06:30 UTC,1
Sun 06:33 UTC,1
Sun 06:49 UTC,1
Sun 06:54 UTC,1
Sun 07:05 UTC,1
Sun 07:20 UTC,3
Sun 07:21 UTC,1
Sun 07:28 UTC,1
Sun 07:31 UTC,1
Sun 07:45 UTC,1
Sun 07:46 UTC,1
Sun 07:49 UTC,1
Sun 07:50 UTC,2
Sun 08:00 UTC,4
Sun 08:02 UTC,1
Sun 08:05 UTC,1
Sun 08:40 UTC,3
Sun 08:44 UTC,1
Sun 08:49 UTC,1
Sun 08:53 UTC,1
Sun 08:59 UTC,2
Sun 09:01 UTC,1
Sun 09:17 UTC,1
Sun 09:18 UTC,1
Sun 09:20 UTC,1
Sun 09:21 UTC,2
Sun 09:27 UTC,1
Sun 09:29 UTC,3
Sun 09:31 UTC,1
Sun 09:35 UTC,1
Sun 09:45 UTC,1
Sun 10:00 UTC,2
Sun 10:06 UTC,1
Sun 10:09 UTC,1
Sun 10:10 UTC,1
Sun 10:27 UTC,1
Sun 10:30 UTC,1
Sun 10:44 UTC,1
Sun 10:48 UTC,1
Sun 11:00 UTC,1
Sun 11:10 UTC,1
Sun 11:17 UTC,1
Sun 11:20 UTC,1
Sun 11:23 UTC,1
Sun 11:33 UTC,1
Sun 11:45 UTC,2
Sun 11:50 UTC,1
Sun 11:55 UTC,1
Sun 12:00 UTC,3
Sun 12:10 UTC,1
Sun 12:18 UTC,1
Sun 12:19 UTC,1
Sun 12:25 UTC,1
Sun 12:26 UTC,1
Sun 12:28 UTC,1
Sun 12:30 UTC,1
Sun 12:51 UTC,1
Sun 13:10 UTC,1
Sun 13:14 UTC,1
Sun 13:30 UTC,1
Sun 13:45 UTC,2
Sun 13:48 UTC,1
Sun 13:51 UTC,1
Sun 13:56 UTC,1
Sun 14:21 UTC,1
Sun 14:30 UTC,1
Sun 14:33 UTC,1
Sun 14:36 UTC,1
Sun 14:38 UTC,1
Sun 14:39 UTC,1
Sun 14:49 UTC,1
Sun 15:13 UTC,1
Sun 15:25 UTC,1
Sun 15:30 UTC,3
Sun 15:35 UTC,1
Sun 15:36 UTC,1
Sun 15:41 UTC,1
Sun 15:48 UTC,1
Sun 15:51 UTC,1
Sun 15:59 UTC,1
Sun 16:00 UTC,1
Sun 16:01 UTC,1
Sun 16:09 UTC,1
Sun 16:12 UTC,2
Sun 16:17 UTC,1
Sun 16:24 UTC,1
Sun 16:38 UTC,1
Sun 16:40 UTC,2
Sun 16:41 UTC,1
Sun 16:49 UTC,1
Sun 16:52 UTC,1
Sun 17:06 UTC,1
Sun 17:10 UTC,1
Sun 17:33 UTC,1
Sun 17:36 UTC,1
Sun 17:47 UTC,1
Sun 17:54 UTC,1
Sun 17:59 UTC,1
Sun 18:03 UTC,1
Sun 18:06 UTC,1
Sun 18:07 UTC,2
Sun 18:14 UTC,1
Sun 18:19 UTC,1
Sun 18:30 UTC,1
Sun 18:41 UTC,1
Sun 18:42 UTC,1
Sun 18:44 UTC,1
Sun 18:45 UTC,1
Sun 18:56 UTC,1
Sun 19:11 UTC,1
Sun 19:13 UTC,1
Sun 20:00 UTC,2
Sun 20:17 UTC,1
Sun 20:20 UTC,1
Sun 20:21 UTC,1
Sun 20:25 UTC,1
Sun 20:32 UTC,1
Sun 21:00 UTC,2
Sun 21:01 UTC,1
Sun 21:03 UTC,1
Sun 21:04 UTC,1
Sun 21:09 UTC,1
Sun 21:10 UTC,2
Sun 21:14 UTC,1
Sun 21:16 UTC,1
Sun 21:28 UTC,1
Sun 21:32 UTC,1
Sun 21:37 UTC,1
Sun 21:44 UTC,1
Sun 21:49 UTC,1
Sun 21:50 UTC,1
Sun 21:58 UTC,1
Sun 22:03 UTC,1
Sun 22:23 UTC,1
Sun 22:32 UTC,1
Sun 22:33 UTC,1
Sun 22:45 UTC,1
Sun 22:48 UTC,1
Sun 22:50 UTC,1
Sun 22:58 UTC,1
Sun 22:59 UTC,1
Sun 23:15 UTC,1
Sun 23:21 UTC,1
Sun 23:30 UTC,2
Sun 23:33 UTC,1
Sun 23:37 UTC,1
Sun 23:40 UTC,1
Sun 23:43 UTC,1
Sun 23:44 UTC,1
Sun 23:45 UTC,1
Sun 23:54 UTC,2
Sun 23:59 UTC,1
"Sun Aug 17, 2008",1
"Sun Dec 17, 2017",1
"Sun Dec 20, 1987",1
"Sun Jun 10, 2007",1
"Sun Mar 28, 1999",1
"Sun Nov 02, 1997",1
"Sun Nov 16, 1969",1
"Sun Oct 10, 1999",1
"Sun Sep 15, 2002",1
Thu 00:00 UTC,1
Thu 00:02 UTC,1
Thu 00:04 UTC,1
Thu 00:07 UTC,2
Thu 00:08 UTC,1
Thu 00:12 UTC,1
Thu 00:15 UTC,2
Thu 00:17 UTC,4
Thu 00:21 UTC,1
Thu 00:22 UTC,1
Thu 00:23 UTC,1
Thu 00:28 UTC,2
Thu 00:29 UTC,1
Thu 00:30 UTC,1
Thu 00:32 UTC,1
Thu 00:38 UTC,2
Thu 00:40 UTC,2
Thu 00:45 UTC,1
Thu 00:51 UTC,1
Thu 00:52 UTC,1
Thu 01:07 UTC,1
Thu 01:09 UTC,2
Thu 01:11 UTC,1
Thu 01:14 UTC,1
Thu 01:15 UTC,1
Thu 01:17 UTC,1
Thu 01:21 UTC,1
Thu 01:22 UTC,1
Thu 01:23 UTC,1
Thu 01:25 UTC,1
Thu 01:28 UTC,1
Thu 01:30 UTC,1
Thu 01:32 UTC,1
Thu 01:36 UTC,1
Thu 01:37 UTC,2
Thu 01:44 UTC,1
Thu 01:48 UTC,2
Thu 01:50 UTC,1
Thu 01:53 UTC,1
Thu 01:56 UTC,1
Thu 01:58 UTC,1
Thu 02:01 UTC,1
Thu 02:05 UTC,1
Thu 02:07 UTC,2
Thu 02:10 UTC,1
Thu 02:12 UTC,1
Thu 02:30 UTC,1
Thu 02:32 UTC,2
Thu 02:37 UTC,1
Thu 02:42 UTC,2
Thu 02:44 UTC,1
Thu 02:48 UTC,2
Thu 02:58 UTC,1
Thu 03:00 UTC,1
Thu 03:02 UTC,1
Thu 03:03 UTC,1
Thu 03:06 UTC,1
Thu 03:09 UTC,1
Thu 03:15 UTC,2
Thu 03:21 UTC,1
Thu 03:23 UTC,1
Thu 03:26 UTC,1
Thu 03:34 UTC,1
Thu 03:36 UTC,1
Thu 03:38 UTC,1
Thu 03:40 UTC,1
Thu 03:45 UTC,1
Thu 03:50 UTC,1
Thu 04:00 UTC,3
Thu 04:01 UTC,1
Thu 04:04 UTC,1
Thu 04:07 UTC,1
Thu 04:09 UTC,1
Thu 04:12 UTC,1
Thu 04:20 UTC,1
Thu 04:22 UTC,2
Thu 04:25 UTC,1
Thu 04:26 UTC,1
Thu 04:27 UTC,2
